Ticker,Liq_MAE,Liq_RMSE,Liq_MaxErr,Liq_MAPE_pp,Valid_Points,Pred_Mean,Actual_Mean
TN0001000108,0.17155009451795844,0.2614626248213006,0.4966918714555766,17.155009451795845,4,0.9963374291115312,0.8250236294896031
TN0001100254,0.28382759984183464,0.38492386097147535,0.7247924080664294,28.382759984183465,5,0.9261368129695532,0.6423092131277185
TN0001200401,0.030166666666666654,0.03309707942805022,0.04916666666666669,3.0166666666666653,5,0.9905833333333334,0.9604166666666666
TN0001400704,0.2001177163037081,0.28428182695045856,0.5879929370217775,20.01177163037081,5,0.7750441436138904,0.5899941141848146
TN0001600154,0.20573846357265635,0.23110395841050377,0.32050773502578345,20.573846357265634,3,0.5331217770725902,0.6946978712151263
TN0001800457,0.20429362880886426,0.21845777493232332,0.31499802136921257,20.429362880886426,4,0.6295013850415513,0.42520775623268703
TN0001900604,0.3404907975460123,0.3404907975460123,0.3404907975460123,34.04907975460123,1,0.9539877300613497,0.6134969325153374
TN0002100907,0.17583547557840612,0.18805311642471828,0.27403598971722365,17.58354755784061,5,0.9268894601542417,0.7510539845758355
TN0002600955,0.09122383252818038,0.10677721945483643,0.16988727858293073,9.122383252818038,5,0.9661835748792271,0.8749597423510467
TN0003200755,0.25761772853185594,0.3354852869240026,0.5221606648199446,25.761772853185594,5,0.7195752539242845,0.4981532779316713
TN0003400058,0.14193548387096772,0.14731738078223186,0.21314822376480191,14.193548387096772,5,0.9683135973866884,0.8263781135157207
TN0003900107,0.30319148936170215,0.34748462207214414,0.4459901800327333,30.319148936170215,3,0.7624113475177304,0.45921985815602845
TN0005700018,0.17824443511129778,0.21548196945976833,0.3981520369592609,17.82444351112978,5,0.8139437211255774,0.7949601007979841
TN0006530018,0.16456310679611655,0.17384413985651997,0.25728155339805836,16.456310679611654,5,0.8985436893203882,0.7339805825242719
TN0006560015,0.0623015873015873,0.08375977434567196,0.15714285714285703,6.23015873015873,4,0.9552579365079366,0.8929563492063491
TN0006580013,0.17932315311597194,0.21909054213439755,0.3883615352868345,17.932315311597193,4,0.48761865456046216,0.30829550144449025
TN0006590012,0.2513017498932992,0.2912355975093264,0.47460520699957315,25.130174989329916,5,0.6664959453691848,0.6050362782757148
TN0006610018,0.221788436512363,0.24741205439898353,0.32180702732849986,22.1788436512363,3,0.8720951849786206,0.6503067484662576
TN0006660013,0.5795370779890904,0.5799818147847786,0.5979655019902698,57.953707798909036,3,0.6755123101872328,0.49137549756744797
TN0006780019,0.002351033644102163,0.002505316115178366,0.003648155654641272,0.2351033644102163,5,0.9964329144710176,0.9987839481151196
TN0007140015,0.003233830845771135,0.003571286147157234,0.005389718076285299,0.3233830845771135,5,0.9989220563847429,0.9956882255389718
TN0007210016,0.18123989218328845,0.186817305029279,0.2361185983827494,18.123989218328845,5,0.9744474393530999,0.7932075471698112
TN0007270010,0.21528,0.2435619017826885,0.42400000000000004,21.528,5,0.8797599999999999,0.66448
TN0007300015,0.4589430894308943,0.5518550578650778,0.9317073170731708,45.89430894308943,4,0.8856707317073171,0.4267276422764228
TN0007380017,0.051552644347404114,0.0680835369297487,0.10431829209121779,5.1552644347404115,4,0.9634885977680736,0.9684619116933527
TN0007400013,0.24396586753352287,0.28539167661025633,0.4884193417310036,24.396586753352288,5,0.7837464445347418,0.5786265745631857
TN0007410012,0.2899883245767659,0.31932339241431357,0.4181260945709281,28.99883245767659,3,0.8787215411558669,0.5887332165791009
TN0007440019,0.3878908848968729,0.40043329612738865,0.5161676646706587,38.78908848968729,3,0.8073186959414503,0.4194278110445775
TN0007530017,0.13401056481105242,0.18251311680360713,0.37058106460788287,13.401056481105242,5,0.9788703778951646,0.8448598130841122
TN0007540016,0.27166361974405845,0.30823232942377243,0.45978062157221217,27.166361974405845,5,0.8426873857404023,0.693144424131627
TN0007550015,0.2901646264246517,0.3236960602846287,0.4301392992823976,29.016462642465168,5,0.9327986492190797,0.6532714225411566
TN0007570013,0.30063492063492064,0.3840341616827599,0.7369047619047618,30.063492063492063,5,0.9661904761904762,0.6655555555555555
TN0007610017,0.3344145569620254,0.36057966419321374,0.4916930379746836,33.44145569620254,5,0.805142405063291,0.4707278481012659
TN0007620016,0.24512195121951214,0.3071068358915395,0.5200348432055748,24.512195121951212,5,0.8283972125435541,0.676829268292683
TN0007630015,0.434862012987013,0.4635509593959511,0.6440746753246753,43.486201298701296,4,0.6999797077922079,0.2651176948051948
TN0007650013,0.005473501303214556,0.006991084682637306,0.013466550825369294,0.5473501303214556,5,0.9910512597741095,0.9909643788010426
TN0007670011,0.13225090202608944,0.16480180236833403,0.25562031640299754,13.225090202608945,3,0.931029697474327,0.7987787954482375
TN0007690019,0.005861365953109071,0.006732846490123805,0.010193679918450549,0.5861365953109071,4,0.9896788990825687,0.9904434250764524
TN0007720014,0.14920899250624486,0.22629648777928338,0.47335553705245637,14.920899250624487,5,0.9279766860949209,0.8030807660283097
TNNGTFLC2986,0.17482517482517476,0.19834898653938607,0.26573426573426573,17.482517482517476,5,0.676923076923077,0.5990675990675991
TNQPQXRODTH8,0.2171349288935137,0.24056898352106013,0.3610822060353799,21.71349288935137,3,0.8886576482830385,0.7526881720430106
