Ticker,Train_RMSE,Train_MAE,Val_RMSE,Val_MRP_RMSE,Val_MAE,Val_DA_t+1,Val_DA_t+5,Val_DA_Avg
TN0001000108,1897.3241873365405,1229.9687680747468,100456.63867815495,12507.051628256344,81262.59574254925,100.0,0.0,80.0
TN0001100254,32112.202744349193,17793.60104472419,111166.44713385243,244.39491174032773,87786.72200872729,100.0,0.0,20.0
TN0001200401,12098.629488635195,8080.4249254286315,27868.827436089003,607.7465857486262,25656.076045384216,0.0,0.0,20.0
TN0001400704,2708.945372439722,1464.5643493960715,21946.522201420798,452.3377344783544,18891.116001147246,100.0,0.0,80.0
TN0001600154,6668.272295626277,3639.3730719416208,11745.145073473812,111.95235124174366,8779.169906079442,0.0,0.0,20.0
TN0001800457,2680.2871236994984,1614.6046842199196,4355.513325749869,218.0809796590161,4155.135745744517,100.0,0.0,80.0
TN0001900604,3951.595788399467,2280.345114670109,4237.424919217969,604.6553823085002,2431.4369428995847,100.0,100.0,100.0
TN0002100907,2574.857866918082,1447.2378661848059,18597.480815801315,622.4889816508675,17777.992731646762,0.0,0.0,0.0
TN0002600955,6441.020320077059,4181.654653729211,32867.508971831056,203.75369767423626,28727.573999913304,0.0,0.0,40.0
TN0003200755,288.1850146788039,194.9870659721575,1642.9727693026803,219.12146829857036,1255.6241866954315,0.0,100.0,40.0
TN0003400058,5299.928899728706,2916.8799900615068,85816.65419842946,859.4557255726535,59945.86422050088,0.0,0.0,0.0
TN0003900107,8350.068591515637,4706.781113436177,9763.209338966233,640.9669996695269,6364.265031007702,100.0,100.0,40.0
TN0005700018,16916.402377709397,9210.809531247882,183798.9210320483,819.294640373224,116669.07599261808,100.0,100.0,60.0
TN0006530018,3103.803655049046,2142.8457561541545,14983.789872763162,177.29358298936464,13170.691094614947,0.0,0.0,0.0
TN0006560015,11306.760259633262,6781.585755079171,101514.34760137895,363.3350069484851,63736.713031540006,100.0,0.0,60.0
TN0006580013,3781.8099703435337,2606.4198839770656,1660.389911249372,224.92412777694014,1495.4617945925224,100.0,0.0,40.0
TN0006590012,6272.49267834657,3941.051226275082,11686.60619923932,215.34192370074297,10423.586116605036,100.0,100.0,100.0
TN0006610018,453.2751378758091,287.98940892549564,18835.704001337926,2446.1953248490813,10984.881257608005,100.0,100.0,80.0
TN0006660013,671.7798378437424,456.20014902684267,2386.0398201271337,166.6694481787604,1932.7458870011221,100.0,0.0,40.0
TN0006780019,13500.094778273642,9278.062268742207,63544.43827952555,50.486426884429235,56379.26487366603,0.0,0.0,40.0
TN0007140015,5837.471135903737,3998.7381326699706,29566.789189789153,147.678883121668,25674.476813167606,100.0,100.0,80.0
TN0007210016,811.9288413161971,533.8639456100931,24896.50860445686,677.8987258197697,23811.543074575457,100.0,100.0,100.0
TN0007270010,13457.091788043494,7739.225010032118,69402.02766960782,311.605519250767,63646.073165572925,0.0,0.0,60.0
TN0007300015,22169.614891445202,10481.860454550751,45844.735631615265,991.8379912512497,28657.115361308923,100.0,100.0,60.0
TN0007380017,2114.8459887856116,1234.0858747882307,142327.2099096289,764.2467992054475,97052.68441043289,0.0,100.0,60.0
TN0007400013,59332.60595328628,38468.63814061047,230626.22755329323,192.77681353705495,178423.29696340088,100.0,100.0,60.0
TN0007410012,1724.582041204737,993.8351392253722,8471.584452607325,527.4959185932332,4800.056389223177,100.0,100.0,80.0
TN0007440019,6476.137262648889,4161.326920136666,33436.51506247841,1016.9256405863262,19480.82908064944,100.0,100.0,40.0
TN0007530017,16303.351852649268,8520.05614038159,230637.4768145304,512.6211372172938,210579.26432399574,0.0,0.0,20.0
TN0007540016,1356.0251337780887,858.8706784232003,3847.4770853757036,248.41665065700568,3267.405903869459,100.0,0.0,40.0
TN0007550015,2648.3495237367924,1632.9083561802872,49668.28751277277,1328.7396338355477,38933.91070273858,0.0,0.0,20.0
TN0007570013,2511.507520886108,1753.799145173461,14599.673564114546,210.3032693399001,12500.584224861199,100.0,0.0,40.0
TN0007610017,22199.08239250829,13108.428681425334,87659.19069761521,535.4540999182409,72520.1449798344,0.0,0.0,20.0
TN0007620016,3189.355184966089,2082.967468244154,6075.911749496406,119.76959884676535,4702.5072883961675,100.0,100.0,100.0
TN0007630015,24667.417484361762,12793.004960461045,44688.36559176391,922.2843437438378,28745.04639069606,100.0,0.0,20.0
TN0007650013,16847.046582644398,11362.233317362205,19810.212957594093,39.86712367649836,17835.04735761355,100.0,100.0,100.0
TN0007670011,25312.26476734682,11787.4491611004,46445.38972300987,296.99199239708076,35576.99361823362,100.0,100.0,60.0
TN0007690019,6710.3712964635615,4356.473295005759,10928.054704394019,124.06119819714844,9214.959736442901,100.0,0.0,80.0
TN0007720014,10879.717815684855,6107.748511767065,106124.23804319218,524.127253544544,73237.43379618658,100.0,0.0,60.0
TNNGTFLC2986,936.0206447953142,609.0249838958646,23115.74032585599,829.5915994062586,12299.984390745509,100.0,100.0,80.0
TNQPQXRODTH8,2283.476411434695,1422.0008612995211,38484.54368583267,1766.9671113789107,18943.275207810035,0.0,100.0,20.0
